text,domain,intent,split
purchase me the kyrie 4s,4,57,val
do i need to have any shots to visit chile,6,85,val
can you find me my phone,7,94,val
"if i can, i'd like to get some more checkbooks mailed to me",1,11,train
"i'd like to make a reservation at rooth chris, can you do that",3,39,test
is a socket converter required if i travel to russia,6,76,train
direct deposit information,8,119,train
i would prefer not,10,141,val
i need to know the interest rate on my bank of america cd account,1,7,train
can you give me the name of this tune,4,46,train
did i put grocery shopping on my todo list,4,58,test
find me a flight from philly to atl for june 5th to 8th,6,87,val
what year did my grandparents get married,0,0,oos_test
is there a due date on the bill,1,4,val
would you say i need new tires if i last bought them on the 24th,5,74,train
do they take reservations at olive garden,3,45,train
how much cad can i get with my one usd,6,82,train
when is the next day we have off,8,107,test
add eggs to my shopping list and remove cheese,4,59,train
what track am i listening to,4,46,train
call an uber for 2 people to go to fourth street live,5,64,train
"what hotels are near, ny, ny for the 9th to 11th",6,88,train
"flip a coin, you're tails and i'm heads",7,101,test
what's your age siri,9,134,train
what is the procedure if i lost my luggage,6,86,val
please tell me all items on my todo list,4,58,train
can you explain to me what type of vacation days i have still,8,115,train
how many pesos equals 500 dollars,6,82,train
tell me how to spell anonymous,7,102,train
how long until my water bill is due,1,4,test
does tartine in san francisco take reservations,3,45,train
what amount did i spend for food on chase visa on current bill,1,14,train
go to next song,4,56,train
find out where i can schedule to get my car's tires checked,5,67,val
who makes milky way bars,0,0,oos_test
"how many vacation days do i have saved up, please",8,115,train
please also list wash laundry on my to do list,4,48,train
tell me what is on the list of things to do,4,58,train
tell me the reviews for chipotle,3,38,train
could you tell me the name of your boss,9,123,train
i'm short on flour so place an order for me,4,57,train
to what animal species do your pets belong,9,124,train
what's the apr on my amex card,2,23,train
now what is the time,7,103,train
put a device with my phone,10,146,val
where should we eat tonight,3,41,val
i need an uber for 5 people to go to the statue of liberty,5,64,test
how is my application on new credit card going,2,27,train
what's my vacation day usage so far,8,120,train
when is the best time of year for pruning,0,0,oos_test
i want to report fraudulent activity on my capital one,1,15,val
move to the next song,4,56,train
"what time is it in adelaide, australia right now",7,103,test
"restore your original settings, please",10,149,train
can i apply for a paypal master card,2,29,val
is it possible to make a reservation at sushi king in virginia beach,3,45,val
my card got declined; why,2,21,test
"how can i apply for a mastercard, please",2,29,train
how much have i spent eating out this week,1,13,train
i would like to try and confirm that i have a reservation at la palapa for bolding,3,32,train
how much have i spent on clothes recently,1,13,train
add my spa appointment on the 12th to my calendar,4,51,train
"i replaced my tires on may 2, so when should i replace them next",5,74,train
can you help me plan a vacation,8,116,test
please order more checks i just used the last one,1,11,val
stop this song and go to the next one,4,56,train
set reminder to prepare for my meeting at 10 am,4,50,train
which type of gas does my car use,5,73,test
cancel my subscription to scientific american,0,0,oos_test
i wanna change my pin number for my credit acount,1,3,train
bring up all purchases from target,1,14,train
can you move to the next song,4,56,train
let my bank know i'm going to be in russia for a month,6,77,val
make a reminder to give the cat her flea medicine,4,50,train
"""when the credit score improve",2,19,test
can i up my credit limit to $1000,2,22,train
does myanmar have any travel alerts i should be aware of,6,84,train
please put dusting on my list of things to do,4,48,test
"up until now, what place was your home base",9,128,train
how many carry ons can i take on a flight with united airlines to austin,6,89,test
"can i get a hotel room that can accommodate 50 people in bangor from january 01, 2021 to january 30, 2021",6,88,train
"i need assistance with my lost luggage, i was on american airlines ab123 out of talahasse",6,86,train
tell me my gas tank levels,5,68,test
i need to know how to change my oil and what kind of oil for a 2007 trailblazer,5,63,val
when do my tires need changing after i replaced them last week,5,74,test
tell me the currency conversion rate from kurus to euros,6,82,train
what gas do i need to fill the car up with,5,73,train
how do i transfer my 401k to a new firm,8,114,test
uh huh,10,139,train
show me the transactions from costco yesterday,1,14,train
argentina travel alert yes or no,6,84,train
how good are the ratings for applebees,3,38,train
i would like to know the kind of gas that this car uses,5,73,train
how much air is in my tires,5,66,train
can i get new checks to replace the ones we ran out of,1,11,train
the name i go by is sandy,10,147,train
inform me how many pounds are in 10 kilos,7,100,test
i need status on that vacation request,8,106,train
